,股票名称,股票代码,识别日期,最新日期,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手,最大盈利id,最大盈利价格,最大盈利比例%,最大亏损id,最大亏损价格,最大亏损比例%
197,九阳股份,002242.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,15.78,2022-04-11 00:00:00,15.62,2022-03-23 00:00:00,16.86,,,,False,,,,,,,,,,
198,九强生物,300406.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-24 00:00:00,16.17,2022-04-15 00:00:00,16.49,2022-03-11 00:00:00,20.42,,,,False,,,,,,,,,,
199,ST华仪,600290.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,2.54,2022-04-15 00:00:00,2.55,2022-03-22 00:00:00,2.92,,,,False,,,,,,,,,,
200,浦东建设,600284.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-24 00:00:00,6.45,2022-03-15 00:00:00,6.45,2022-03-03 00:00:00,6.91,,,,False,,,,,,,,,,
201,万通发展,600246.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,9.34,2022-03-15 00:00:00,9.43,2022-03-11 00:00:00,9.93,,,,False,,,,,,,,,,
202,万邦德,002082.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,9.73,2022-04-15 00:00:00,9.57,2022-04-08 00:00:00,12.25,,,,False,,,,,,,,,,
203,滨海能源,000695.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-24 00:00:00,8.89,2022-04-15 00:00:00,8.92,2022-03-21 00:00:00,10.38,,,,False,,,,,,,,,,
204,视觉中国,000681.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,13.6,2022-04-15 00:00:00,13.58,2022-04-07 00:00:00,19.08,,,,False,,,,,,,,,,
205,华夏航空,002928.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,9.98,2022-04-11 00:00:00,9.92,2022-03-18 00:00:00,11.03,,,,False,,,,,,,,,,
206,美力科技,300611.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,9.07,2022-04-15 00:00:00,8.94,2022-03-22 00:00:00,10.27,,,,False,,,,,,,,,,
207,重庆建工,600939.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-08 00:00:00,4.76,2022-03-24 00:00:00,4.69,2022-03-21 00:00:00,5.19,,,,False,,,,,,,,,,
208,高测股份,688556.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-21 00:00:00,61.49,2022-04-13 00:00:00,60.8,2022-02-28 00:00:00,77.09,,,,False,,,,,,,,,,
209,中通国脉,603559.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-17 00:00:00,11.03,2022-04-11 00:00:00,10.97,2022-03-16 00:00:00,15.25,,,,False,,,,,,,,,,
210,中红医疗,300981.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,66.81,2022-04-15 00:00:00,67.03,2022-03-14 00:00:00,74.0,,,,False,,,,,,,,,,
211,乐普医疗,300003.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,18.5,2022-04-13 00:00:00,18.36,2022-03-21 00:00:00,21.64,,,,False,,,,,,,,,,
212,王府井,600859.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,20.29,2022-04-11 00:00:00,20.21,2022-04-01 00:00:00,22.53,23.24,22.53,True,True,0.6061,True,27212753,12238209.17948718,,,,,,
213,易瑞生物,300942.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-24 00:00:00,26.03,2022-04-13 00:00:00,26.25,2022-03-14 00:00:00,39.46,,,,False,,,,,,,,,,
214,富淼科技,688350.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,18.3,2022-04-13 00:00:00,18.14,2022-03-23 00:00:00,20.37,,,,False,,,,,,,,,,
215,恒基达鑫,002492.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-24 00:00:00,5.85,2022-03-15 00:00:00,5.85,2022-03-03 00:00:00,6.77,,,,False,,,,,,,,,,
216,歌力思,603808.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,11.82,2022-03-24 00:00:00,11.91,2022-03-11 00:00:00,12.63,13.52,12.63,,True,,,,,,,,,,
217,福能股份,600483.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,10.22,2022-04-11 00:00:00,10.21,2022-03-23 00:00:00,11.39,,,,False,,,,,,,,,,
218,兴齐眼药,300573.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,89.58,2022-04-01 00:00:00,89.07,2022-03-17 00:00:00,97.0,,,,False,,,,,,,,,,
219,富春环保,002479.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,5.3,2022-04-15 00:00:00,5.28,2022-03-29 00:00:00,5.72,,,,False,,,,,,,,,,
220,南京证券,601990.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,8.13,2022-04-11 00:00:00,8.04,2022-03-16 00:00:00,8.5,,,,False,,,,,,,,,,
221,万德斯,688178.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,20.46,2022-04-15 00:00:00,20.07,2022-03-23 00:00:00,21.47,,,,False,,,,,,,,,,
222,华映科技,000536.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,2.0,2022-04-15 00:00:00,1.99,2022-03-23 00:00:00,2.14,,,,False,,,,,,,,,,
223,山东墨龙,002490.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,4.05,2022-04-11 00:00:00,4.04,2022-03-22 00:00:00,4.84,,,,False,,,,,,,,,,
224,佳发教育,300559.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,8.46,2022-03-10 00:00:00,8.59,2022-03-10 00:00:00,8.59,10.46,8.59,,True,,,,,,,,,,
225,号百控股,600640.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,9.92,2022-04-15 00:00:00,9.86,2022-04-01 00:00:00,11.36,,,,False,,,,,,,,,,
226,尖峰集团,600668.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-24 00:00:00,16.68,2022-04-15 00:00:00,16.9,2022-03-10 00:00:00,23.32,,,,False,,,,,,,,,,
227,钱江摩托,000913.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,11.22,2022-04-15 00:00:00,11.08,2022-04-06 00:00:00,12.02,,,,False,,,,,,,,,,
228,梅花生物,600873.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-17 00:00:00,7.88,2022-03-18 00:00:00,7.9,2022-03-03 00:00:00,8.5,8.88,8.5,,True,,,,,,,,,,
229,通化东宝,600867.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,9.56,2022-03-15 00:00:00,9.75,2022-03-11 00:00:00,10.22,,,,False,,,,,,,,,,
230,浙江广厦,600052.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,4.05,2022-04-13 00:00:00,4.0,2022-04-06 00:00:00,4.42,,,,False,,,,,,,,,,
231,奥锐特,605116.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-24 00:00:00,21.55,2022-04-07 00:00:00,21.15,2022-03-16 00:00:00,29.0,,,,False,,,,,,,,,,
232,甬金股份,603995.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-16 00:00:00,48.7,2022-04-14 00:00:00,48.52,2022-04-08 00:00:00,56.68,,,,False,,,,,,,,,,
233,中国铝业,601600.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,5.42,2022-04-11 00:00:00,5.41,2022-03-22 00:00:00,6.26,,,,False,,,,,,,,,,
234,江南水务,601199.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-01 00:00:00,5.93,2022-03-14 00:00:00,5.95,2022-03-04 00:00:00,6.78,,,,False,,,,,,,,,,
235,美康生物,300439.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,14.03,2022-04-13 00:00:00,13.85,2022-03-22 00:00:00,17.31,,,,False,,,,,,,,,,
236,宏昌电子,603002.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,5.48,2022-04-11 00:00:00,5.4,2022-03-21 00:00:00,5.88,,,,False,,,,,,,,,,
237,广信股份,603599.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-08 00:00:00,30.0,2022-03-15 00:00:00,30.18,2022-03-11 00:00:00,32.56,,,,False,,,,,,,,,,
238,上海洗霸,603200.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-22 00:00:00,19.94,2022-03-24 00:00:00,19.79,2022-03-23 00:00:00,20.08,,,,False,,,,,,,,,,
239,铁科轨道,688569.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,16.91,2022-04-11 00:00:00,16.58,2022-03-22 00:00:00,17.55,,,,False,,,,,,,,,,
240,双枪科技,001211.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,25.82,2022-04-11 00:00:00,25.7,2022-03-24 00:00:00,28.77,,,,False,,,,,,,,,,
241,亿纬锂能,300014.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,70.49,2022-04-11 00:00:00,70.3,2022-03-21 00:00:00,85.4,,,,False,,,,,,,,,,
242,冠盛股份,605088.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,12.6,2022-04-11 00:00:00,12.5,2022-03-21 00:00:00,13.7,,,,False,,,,,,,,,,
243,ST天马,002122.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-02 00:00:00,2.34,2022-04-01 00:00:00,2.34,2022-03-22 00:00:00,2.53,,,,False,,,,,,,,,,
244,华康股份,605077.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,31.81,2022-04-15 00:00:00,31.62,2022-03-25 00:00:00,35.01,,,,False,,,,,,,,,,
245,麒盛科技,603610.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,17.74,2022-04-11 00:00:00,17.45,2022-03-23 00:00:00,18.87,,,,False,,,,,,,,,,
246,长高集团,002452.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-08 00:00:00,6.65,2022-04-15 00:00:00,6.66,2022-03-23 00:00:00,7.56,,,,False,,,,,,,,,,
247,阿拉丁,688179.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,53.38,2022-04-11 00:00:00,52.56,2022-03-24 00:00:00,58.85,,,,False,,,,,,,,,,
248,欣贺股份,003016.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,8.87,2022-04-11 00:00:00,8.78,2022-03-22 00:00:00,9.27,,,,False,,,,,,,,,,
249,ST维维,600300.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,3.91,2022-04-15 00:00:00,3.88,2022-03-24 00:00:00,4.51,,,,False,,,,,,,,,,
250,安井食品,603345.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,104.99,2022-04-08 00:00:00,103.9,2022-03-21 00:00:00,117.26,124.4,117.26,True,True,4.6962,True,5983392,2714517.5897435895,,,,,,
251,沃华医药,002107.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,6.46,2022-03-15 00:00:00,6.51,2022-03-11 00:00:00,6.99,,,,False,,,,,,,,,,
252,博瑞传播,600880.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-14 00:00:00,5.48,2022-04-15 00:00:00,5.46,2022-04-06 00:00:00,7.23,,,,False,,,,,,,,,,
253,克明食品,002661.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,10.56,2022-03-10 00:00:00,10.59,2022-03-10 00:00:00,10.59,12.07,10.59,,True,,,,,,,,,,
254,华绿生物,300970.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,21.13,2022-04-15 00:00:00,20.96,2022-03-29 00:00:00,26.34,,,,False,,,,,,,,,,
255,德恩精工,300780.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,13.02,2022-04-11 00:00:00,12.79,2022-03-22 00:00:00,13.87,,,,False,,,,,,,,,,
256,华星创业,300025.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,3.88,2022-04-15 00:00:00,3.83,2022-03-23 00:00:00,4.63,,,,False,,,,,,,,,,
257,浙江力诺,300838.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,15.07,2022-04-11 00:00:00,15.02,2022-03-21 00:00:00,17.25,,,,False,,,,,,,,,,
258,浔兴股份,002098.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-24 00:00:00,6.4,2022-03-15 00:00:00,6.41,2022-03-03 00:00:00,7.05,,,,False,,,,,,,,,,
259,东航物流,601156.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,19.05,2022-03-29 00:00:00,19.0,2022-03-21 00:00:00,20.17,22.82,20.17,,True,,,,,,,,,,
260,腾达建设,600512.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-25 00:00:00,3.62,2022-03-15 00:00:00,3.63,2022-03-09 00:00:00,3.86,,,,False,,,,,,,,,,
261,华纳药厂,688799.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,34.6,2022-04-15 00:00:00,33.96,2022-03-31 00:00:00,39.5,,,,False,,,,,,,,,,
262,阳光照明,600261.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,3.6,2022-04-15 00:00:00,3.57,2022-04-06 00:00:00,3.9,,,,False,,,,,,,,,,
263,常青股份,603768.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,14.82,2022-04-15 00:00:00,14.53,2022-03-22 00:00:00,15.56,,,,False,,,,,,,,,,
264,交控科技,688015.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,25.63,2022-03-29 00:00:00,25.44,2022-03-23 00:00:00,27.04,,,,False,,,,,,,,,,
265,方盛制药,603998.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-17 00:00:00,5.66,2022-03-15 00:00:00,5.71,2022-03-03 00:00:00,6.3,,,,False,,,,,,,,,,
266,鼎龙文化,002502.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,3.28,2022-04-15 00:00:00,3.27,2022-04-06 00:00:00,4.45,,,,False,,,,,,,,,,
267,广西广电,600936.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-17 00:00:00,3.03,2022-03-15 00:00:00,3.03,2022-02-23 00:00:00,4.15,,,,False,,,,,,,,,,
268,珠海中富,000659.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-17 00:00:00,3.42,2022-04-14 00:00:00,3.38,2022-03-18 00:00:00,3.9,,,,False,,,,,,,,,,
269,佳士科技,300193.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,8.85,2022-04-11 00:00:00,8.74,2022-03-18 00:00:00,9.3,,,,False,,,,,,,,,,
270,洪兴股份,001209.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,21.74,2022-04-15 00:00:00,21.65,2022-03-21 00:00:00,23.75,,,,False,,,,,,,,,,
271,盐津铺子,002847.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,57.08,2022-04-11 00:00:00,56.8,2022-03-22 00:00:00,61.78,,,,False,,,,,,,,,,
272,基蛋生物,603387.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-22 00:00:00,18.21,2022-04-13 00:00:00,18.55,2022-03-11 00:00:00,21.78,,,,False,,,,,,,,,,
273,青山纸业,600103.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,2.53,2022-04-15 00:00:00,2.51,2022-04-06 00:00:00,2.68,,,,False,,,,,,,,,,
274,弘宇股份,002890.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,15.25,2022-04-11 00:00:00,15.08,2022-03-21 00:00:00,16.59,,,,False,,,,,,,,,,
275,华熙生物,688363.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,102.8,2022-04-13 00:00:00,102.5,2022-03-31 00:00:00,120.99,,,,False,,,,,,,,,,
276,星源材质,300568.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-08 00:00:00,31.31,2022-04-15 00:00:00,30.77,2022-03-17 00:00:00,41.78,,,,False,,,,,,,,,,
277,上机数控,603185.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-18 00:00:00,128.0,2022-04-11 00:00:00,125.6,2022-03-11 00:00:00,175.25,,,,False,,,,,,,,,,
278,川发龙蟒,002312.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,10.3,2022-03-28 00:00:00,10.27,2022-03-18 00:00:00,10.71,11.65,10.71,,True,,,,,,,,,,
279,京粮控股,000505.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-17 00:00:00,7.16,2022-03-10 00:00:00,7.23,2022-03-02 00:00:00,7.97,11.38,7.97,,True,,,,,,,,,,
280,诚意药业,603811.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-17 00:00:00,14.38,2022-04-14 00:00:00,14.5,2022-03-11 00:00:00,18.16,,,,False,,,,,,,,,,
281,永利股份,300230.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,3.97,2022-04-11 00:00:00,3.92,2022-03-21 00:00:00,4.23,,,,False,,,,,,,,,,
282,丝路视觉,300556.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,22.51,2022-04-15 00:00:00,22.44,2022-03-22 00:00:00,29.72,,,,False,,,,,,,,,,
283,柏楚电子,688188.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-14 00:00:00,267.95,2022-04-15 00:00:00,264.48,2022-03-25 00:00:00,304.0,,,,False,,,,,,,,,,
284,博闻科技,600883.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,7.75,2022-04-13 00:00:00,7.74,2022-04-08 00:00:00,9.75,,,,False,,,,,,,,,,
285,太极集团,600129.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,17.87,2022-03-15 00:00:00,18.18,2022-03-11 00:00:00,19.68,,,,False,,,,,,,,,,
286,会稽山,601579.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,9.14,2022-04-11 00:00:00,8.99,2022-03-18 00:00:00,9.63,,,,False,,,,,,,,,,
287,景峰医药,000908.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-17 00:00:00,3.84,2022-03-15 00:00:00,3.9,2022-03-11 00:00:00,4.37,,,,False,,,,,,,,,,
288,惠达卫浴,603385.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,8.32,2022-04-15 00:00:00,8.3,2022-04-06 00:00:00,9.23,,,,False,,,,,,,,,,
289,金贵银业,002716.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,2.9,2022-03-31 00:00:00,2.89,2022-03-25 00:00:00,3.07,,,,False,,,,,,,,,,
290,海欣食品,002702.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,5.03,2022-03-15 00:00:00,5.03,2022-03-11 00:00:00,5.37,6.48,5.37,,True,,,,,,,,,,
291,富邦股份,300387.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-18 00:00:00,8.25,2022-04-15 00:00:00,8.4,2022-03-07 00:00:00,12.03,,,,False,,,,,,,,,,
292,华设集团,603018.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-14 00:00:00,8.15,2022-03-29 00:00:00,8.12,2022-03-18 00:00:00,8.79,,,,False,,,,,,,,,,
293,国药股份,600511.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,25.89,2022-03-15 00:00:00,26.02,2022-03-11 00:00:00,27.92,,,,False,,,,,,,,,,
294,博世科,300422.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,6.79,2022-04-15 00:00:00,6.73,2022-03-21 00:00:00,7.52,,,,False,,,,,,,,,,
295,华鹏飞,300350.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,6.16,2022-03-29 00:00:00,6.15,2022-03-18 00:00:00,6.65,,,,False,,,,,,,,,,
